"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0008038","GO:0008038","neuron recognition",28,0.781089960718593,1.87915313152778,8.55499264349829e-05,0.320709277255005,0.310506824014513,1212,"tags=43%, list=9%, signal=39%","DSCAML1/CNTNAP2/NDN/ROBO1/CRTAC1/IGSF9/NRCAM/CNTN2/ROBO3/CNR1/NRP1/PALLD"
"GO:0035809","GO:0035809","regulation of urine volume",13,0.877579669783583,1.8247769654729,0.000120186721368844,0.320709277255005,0.310506824014513,1282,"tags=62%, list=9%, signal=56%","ADM/SLC4A1/ADCY6/AVPR2/NPR1/OPRL1/ADORA2A/HYAL2"
"GO:0050922","GO:0050922","negative regulation of chemotaxis",49,0.680569586992887,1.81349202256885,0.00038489729728096,0.320709277255005,0.310506824014513,1236,"tags=29%, list=9%, signal=26%","DDT/GREM1/ROBO1/SEMA3A/CYP19A1/C5AR2/SEMA3B/SEMA6B/AIF1/SLIT1/SLAMF8/SEMA3C/NRP1/CXCL13"
"GO:0042572","GO:0042572","retinol metabolic process",31,0.726218338653996,1.7994475711818,0.000769583540177048,0.320709277255005,0.310506824014513,1933,"tags=39%, list=14%, signal=33%","DHRS9/RDH12/CYP3A7/CEL/CYP3A4/RDH16/PLB1/ADH6/ALDH1A1/RDH5/AKR1C3/DGAT2"
"GO:0008037","GO:0008037","cell recognition",91,0.600706163000183,1.75343838077739,0.000203486425437936,0.320709277255005,0.310506824014513,1046,"tags=24%, list=8%, signal=23%","DSCAML1/CLGN/CNTNAP2/NDN/ZPBP2/ROBO1/ADAM32/CRTAC1/IGSF9/NRCAM/PEAR1/CNTN2/CFP/FCGR1A/TUB/CCR7/DCST1/CD209/ROBO3/SPESP1/CNR1/NRP1"
"GO:0003014","GO:0003014","renal system process",73,0.600878422744512,1.71477338250147,0.000916803365388617,0.320709277255005,0.310506824014513,1693,"tags=30%, list=12%, signal=27%","SLC12A3/ADM/SLC4A1/ADCY6/WNK4/HBB/JCHAIN/AVPR2/TMEM63C/SUCNR1/SCN11A/NPR1/AMN/OPRL1/SLC5A2/ADORA2A/HYAL2/MYO1E/PRKRIP1/CHRNB2/GSN/PTPRO"
"GO:0050731","GO:0050731","positive regulation of peptidyl-tyrosine phosphorylation",123,0.546375943752771,1.64466766261285,0.000809277725101787,0.320709277255005,0.310506824014513,1732,"tags=29%, list=12%, signal=26%","LRP4/GREM1/FGFR3/GATA1/DOK7/CSPG4/LILRA5/IL2/CLEC6A/ENPP2/PLPP3/IL6/FCGR1A/CTF1/CSF2/SYK/CRLF1/CD40/IL6R/CLCF1/IL18/NCF1/NRP1/ANGPT4/SRC/VEGFA/CNTF/IFNL1/TGFA/EFNA1/TNFRSF18/BANK1/SRCIN1/VTN/LIF/UNC119"
"GO:0042445","GO:0042445","hormone metabolic process",152,0.530338272213175,1.63453355097044,0.000783171992033987,0.320709277255005,0.310506824014513,2000,"tags=26%, list=14%, signal=22%","STC2/DDO/ADM/GNB3/DHRS9/CYP19A1/GAL/BACE2/MME/RDH12/CYP3A7/MEP1A/HPN/DIO2/CEL/SHH/PLA2G7/SLC16A10/GCNT4/CYP3A4/RDH16/CPE/PLB1/SPP1/CTSL/ADH6/HSD17B10/ALDH8A1/ALDH1A1/CTSZ/FOXE1/CRABP2/RDH5/DHRS11/AKR1C3/DGAT2/DAB2/STUB1/PAX8"
"GO:0050920","GO:0050920","regulation of chemotaxis",171,0.518543806123243,1.61369962456669,0.000497567143500726,0.320709277255005,0.310506824014513,2013,"tags=27%, list=14%, signal=24%","DDT/GREM1/PGF/ROBO1/AZU1/SEMA3A/CYP19A1/XCL1/ARTN/C5AR2/F3/SEMA3B/VEGFD/SEMA6B/IL6/PLXNA4/PLA2G7/SPI1/CCR7/SUCNR1/AIF1/SLIT1/SLAMF8/SEMA3C/IL6R/FPR2/ROBO3/FGF2/ADGRA2/NRP1/PDGFRB/VEGFA/CXCL13/TUBB2B/CCL3/CCL4/AGER/PTPRO/SWAP70/JAM3/CXCL8/LPAR1/CCL1/TIAM1/DAPK2/DUSP3/RARRES2"
"GO:0018108","GO:0018108","peptidyl-tyrosine phosphorylation",211,0.500772500117895,1.59778981938542,0.00028999353282433,0.320709277255005,0.310506824014513,1732,"tags=26%, list=12%, signal=23%","LRP4/TEK/GREM1/PKDCC/FGFR3/GATA1/DOK7/CSPG4/LILRA5/IL2/CLEC6A/ENPP2/PLPP3/IL7/IL6/LILRB4/FCGR1A/BTK/CTF1/CSF2/SYK/CRLF1/CD40/FES/FGR/IL6R/CLCF1/HCK/IL18/NCF1/NRP1/PDGFRB/ANGPT4/SRC/VEGFA/CNTF/SH3BP5/IFNL1/TGFA/ERBB2/EFNA1/HYAL2/TNFRSF18/AATK/BANK1/INSR/TTBK1/SRCIN1/CAV1/VTN/ZGPAT/SOCS3/LIF/UNC119"
