"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa05200","hsa05200","Pathways in cancer",414,0.462745077637862,1.54175356852249,0.000105876124933827,0.000105876124933827,0.0160521451503065,2116,"tags=24%, list=15%, signal=21%","CAMK2B/LRP6/TERT/NOS2/GNB3/PGF/GNG7/ADCY6/FGFR3/WNT9A/IL2/GNG8/FGF17/PTGER1/GNG10/ADCY5/GNA11/PTGS2/LAMA3/MGST2/FZD5/VEGFD/CSF2RA/KIF7/AXIN2/PTCH2/WNT10A/SHH/GNG3/IL7/NOTCH3/RET/IL6/TXNRD3/GLI1/IL13RA1/FZD7/MGST1/SPI1/JAG1/CSF2RB/FGF9/CALML4/COL4A4/LAMB2/CCND1/IL6R/LEF1/FGF2/TCF7L1/CSF3R/WNT5B/F2RL3/HMOX1/PDGFRB/GNG5/NOTCH4/VEGFA/LAMC1/GNG11/GADD45B/IL3RA/GNG4/TGFA/ERBB2/WNT8B/F2/CDKN2A/JUN/CKS2/RAC3/CALML6/EPAS1/CCNE1/KNG1/E2F1/GSTM2/GNG12/GADD45G/ITGA2B/CXCL8/LPAR1/MMP9/EGLN2/ARHGEF11/BAD/COL4A3/GSTP1/DAPK2/CDKN1A/PAX8/LAMA5/IFNGR2/NFKB2/RBX1/E2F2/MGST3/DAPK1"
"hsa03010","hsa03010","Ribosome",128,0.568923820920404,1.727817842836,0.000121373953149654,0.000121373953149654,0.0160521451503065,3911,"tags=65%, list=28%, signal=47%","MRPS18A/RPS17/RPL36/RPL36AL/RPL37/MRPL24/MRPL36/RPS8/RPL11/RPL38/MRPL28/RPLP2/MRPL34/RPL35/RPS23/MRPL11/RPL26L1/MRPL33/RPL27A/RPL35A/MRPL2/MRPL22/RPS15A/RPL12/RPS25/MRPS11/MRPL4/RPS18/RPL37A/RPS11/RPS16/RPS13/RPL41/RPS15/RPL34/RPS14/RPS28/RPL24/RPL8/MRPS15/MRPL27/RPL10A/RPL23A/RPL39/RPL23/MRPL14/RPS29/RPL9/RPS3/RPL19/RPS21/MRPS21/RPL30/RPL3/RPS6/FAU/MRPL21/RPS12/RPL10/RPS4Y1/RPL18/RPL18A/RPS20/RPL29/RPL22L1/MRPL16/MRPS12/RPL32/MRPL23/RPS27/RPL14/RPL7A/RPS4X/RPS19/RPS9/RPS7/MRPS5/RPL36A/MRPL18/RPS24/RPS2/RPL13A/RPL28"
"hsa00350","hsa00350","Tyrosine metabolism",20,0.806413218107727,1.83498665162472,0.000154035736290819,0.000154035736290819,0.0160521451503065,1239,"tags=40%, list=9%, signal=36%","PNMT/DBH/DDC/AOC2/AOC3/GSTZ1/ALDH3B1/ADH6"
"hsa04926","hsa04926","Relaxin signaling pathway",102,0.549042192454876,1.62306070844229,0.00213514192413966,0.00213514192413966,0.166878197755126,1922,"tags=27%, list=14%, signal=24%","NOS2/GNB3/GNG7/ADCY6/SHC2/GNG8/GNG10/ADCY5/VEGFD/GNG3/CREB3L3/MAPK12/COL4A4/GNG5/INSL3/SRC/VEGFA/GNG11/GNG4/JUN/MAPK11/ATF4/RLN3/GNAO1/RXFP4/GNG12/MMP9/COL4A3"
"hsa05332","hsa05332","Graft-versus-host disease",34,0.670008927886108,1.68059346075827,0.00476878612716763,0.00476878612716763,0.271020421853682,2544,"tags=50%, list=18%, signal=41%","KIR3DL1/IL1A/KIR2DL3/IL2/HLA-G/IL6/KIR2DL1/KIR3DL2/HLA-DMB/HLA-DMA/HLA-DPB1/HLA-DQA2/HLA-F/HLA-DRB5/CD86/HLA-DOA/HLA-DRA"
"hsa00565","hsa00565","Ether lipid metabolism",34,0.660065301347712,1.65565171290818,0.0065028901734104,0.0065028901734104,0.271020421853682,1660,"tags=35%, list=12%, signal=31%","UGT8/ENPP2/PLPP3/PLD4/PLA2G7/PLA2G4A/GAL3ST1/GDPD3/PLB1/PLA2G10/LPCAT2/PLPP2"
"hsa04725","hsa04725","Cholinergic synapse",87,0.535976803661004,1.54965928017745,0.00809352517985612,0.00809352517985612,0.271020421853682,1794,"tags=25%, list=13%, signal=22%","CAMK2B/GNB3/GNG7/ADCY6/GNG8/CHRNA7/GNG10/ADCY5/GNA11/GNG3/CREB3L3/ACHE/CACNA1F/CHRNA6/GNG5/GNG11/GNG4/CACNA1D/CHRNB2/ATF4/GNAO1/GNG12"
"hsa05163","hsa05163","Human cytomegalovirus infection",190,0.451810411356338,1.42389321536421,0.0103021183007293,0.0103021183007293,0.271020421853682,1949,"tags=21%, list=14%, signal=18%","NFATC4/GNB3/GNG7/ADCY6/GNG8/HLA-G/PTGER1/GNG10/ADCY5/GNA11/PTGS2/GNG3/IL6/CREB3L3/MAPK12/IL1R1/CALML4/CCND1/IL6R/GNG5/SRC/VEGFA/GNG11/GNG4/CDKN2A/CCL3L1/CCL3/RAC3/CALML6/CCL4/MAPK11/CCL4L2/E2F1/ATF4/GNAO1/GNG12/CXCL8/ARHGEF11/CDKN1A"
"hsa05310","hsa05310","Asthma",21,0.707613961353775,1.62204823664317,0.0103045216856352,0.0103045216856352,0.271020421853682,2789,"tags=67%, list=20%, signal=53%","MS4A2/FCER1A/PRG2/FCER1G/CD40/HLA-DMB/HLA-DMA/HLA-DPB1/HLA-DQA2/HLA-DRB5/HLA-DOA/HLA-DRA/EPX/HLA-DPA1"
"hsa04721","hsa04721","Synaptic vesicle cycle",56,-0.492529706525102,-1.55226419654768,0.0131628431741256,0.0131628431741256,0.271020421853682,1390,"tags=21%, list=10%, signal=19%","ATP6V1C1/CLTC/SLC18A2/SLC6A4/SLC6A9/ATP6V1C2/UNC13B/DNM3/SLC1A1/SLC17A7/SNAP25/SLC32A1"
"hsa04934","hsa04934","Cushing syndrome",114,0.492927033648278,1.47765520729964,0.0136952498457742,0.0136952498457742,0.271020421853682,1734,"tags=23%, list=12%, signal=20%","CAMK2B/RASD1/ADCY6/WNT9A/MRAP/ADCY5/GNA11/FZD5/AXIN2/WNT10A/CRHR2/CREB3L3/FZD7/CCND1/CACNA1F/LEF1/TCF7L1/WNT5B/WNT8B/CACNA1D/CDKN2A/POMC/CCNE1/CDKN2C/E2F1/ATF4"
"hsa04964","hsa04964","Proximal tubule bicarbonate reclamation",16,-0.698803325809933,-1.6997959257444,0.0141650776355217,0.0141650776355217,0.271020421853682,1869,"tags=44%, list=13%, signal=38%","ATP1B3/GLS/AQP1/CA2/SLC4A4/ATP1A3/GLS2"
"hsa04928","hsa04928","Parathyroid hormone synthesis, secretion and action",93,0.513032114496329,1.49731665358726,0.0151360976850674,0.0151360976850674,0.271020421853682,1253,"tags=15%, list=9%, signal=14%","LRP6/SLC12A3/WNK2/ADCY6/WNK4/ADCY5/GNA11/TNFSF11/GCM1/CREB3L3/SLC34A1/WNK3/VDR/MMP14"
"hsa04060","hsa04060","Cytokine-cytokine receptor interaction",200,0.437079817529262,1.38380600615953,0.0162218131615278,0.0162218131615278,0.271020421853682,1937,"tags=29%, list=14%, signal=25%","TNFRSF17/IL1A/BMP3/CXCL5/IL2/TNFRSF13B/INHBC/XCL1/CCL18/TNFSF11/CSF2RA/LTBR/INHBE/IL27/IL7/IL6/IL13RA1/CXCR5/CXCR1/CRLF2/CCR7/CTF1/CSF2/EBI3/BMP8A/IL1R1/CSF2RB/CD40/CCL24/IL6R/ACVRL1/CLCF1/TNFRSF4/IL18/CSF3R/INHBA/IL1RN/CNTF/IFNL1/IL3RA/CXCL13/TNFRSF18/CCL3L1/CCL3/EDAR/LTB/CCL4/CCL4L2/TNFRSF12A/LIF/RELL2/IL1R2/CXCL8/CCL1/IL21R/XCR1/TNFRSF21/CCL22"
"hsa04820","hsa04820","Cytoskeleton in muscle cells",160,0.454476204138275,1.40990513875775,0.0172393434880151,0.0172393434880151,0.271020421853682,1501,"tags=23%, list=11%, signal=21%","MYBPC2/ANKRD1/HSPG2/MYBPC3/NEBL/TNNC1/TNNI2/DSG2/TNNC2/MYH7/PDLIM1/COL5A2/DSC2/DMD/ANK2/COL9A2/ITGA7/COL27A1/COL4A4/SDC2/SDC3/LMOD2/COL6A3/COL6A1/ACTA1/MYOM1/SDC1/CAPN3/MYH7B/TNNT3/LMOD3/TCAP/SGCA/FHL2/MYH6/LMNA/CSRP2"
"hsa04080","hsa04080","Neuroactive ligand-receptor interaction",159,0.454750476964828,1.4099128236159,0.0173779406549237,0.0173779406549237,0.271020421853682,2282,"tags=39%, list=16%, signal=33%","CALCA/PARD3/ADM/GABRR1/GRIK5/DRD3/PRSS2/GAL/HRH2/CHRNA7/PTGER1/LYNX1/GALR2/AVPR2/SSTR3/FPR3/KISS1R/VGF/NPW/PTGIR/MLNR/CRHR2/HCRTR1/PRSS1/P2RY1/TACR2/FPR2/OPRL1/CHRNA6/CNR1/GNRH2/ADORA2A/F2RL3/CORT/PAQR6/INSL3/C3/F2/POMC/CHRNB2/OXT/CYSLTR1/NTSR1/GRIK4/KNG1/CYSLTR2/ADM2/UCN/RLN3/RXFP4/LPAR1/P2RY11/CHRNA9/NMB/GIPR/PTAFR/GZMA/GRIN3B/F2RL1/CHRNB1/CHRNA2/HTR4"
"hsa04662","hsa04662","B cell receptor signaling pathway",77,0.526892557805494,1.49984401744549,0.0177847521904015,0.0177847521904015,0.271020421853682,1664,"tags=25%, list=12%, signal=22%","LILRA4/LILRA5/BLNK/CD79A/CR2/CD19/LILRA6/LILRB4/CD22/BTK/SYK/LILRB1/LILRB2/LILRB3/NFKBIB/JUN/BANK1/RAC3/CD72"
